"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","RAIN","TEMP","RH","patient"
2017-01-03,3.2375,0.5512,33.8708,56.2083,104.7917,21.8333,2.5,0,21.8333,82.9583,10
2017-01-04,4.4042,0.5783,34.3958,53.9167,102.8333,22.95,3.85,0,22.625,80.0833,1
2017-01-05,2.3708,0.4625,33.3333,43.5833,79.5417,17.5833,1.2083,0,22.625,79.2083,11
2017-01-06,3.8792,0.5258,29.4625,55.2083,89.2917,20.375,4.8,0,22.5417,76.75,8
2017-01-09,4.5875,0.8054,29.2875,46.0833,105.875,25.25,6.0792,0,21.6667,76.125,4
2017-01-10,4.6417,0.7979,33.5375,53.125,106.0417,26.0833,4.8958,0,20.9583,72.4167,15
2017-01-11,4.6957,0.6826,36.0682,63.9583,117.9583,22.7619,2.5619,0,21.0833,74.2917,3
2017-01-12,3.5417,0.5179,32.1458,42.7083,89.375,19.8818,2.825,0,21.5417,78.5,7
2017-01-13,3.3583,0.6221,25.1875,52.3333,91.5,22.9583,2.1833,0,22.375,77.375,13
2017-01-16,4.4875,0.45,21.7292,23.7917,60,22.8292,3.2542,0,20.4167,71.375,1
2017-01-17,5.3333,0.5054,26.1792,35.7917,83.9583,28.8095,6.3429,0,21.1667,72.7917,13
2017-01-18,3.075,0.4325,35.1792,37.8333,83.625,21.125,1.6917,0,22.7083,76.3333,3
2017-01-19,3.1625,0.4617,29.9542,38.0417,75.25,22.8333,2.7875,0,23.7083,77.75,6
2017-01-20,2.9417,0.6162,23.3917,47.4167,105.125,26.5909,1.9818,0,21.1667,72.6667,11
2017-01-23,4.7625,0.615,35.0083,46.6667,109.5,27.85,3.1286,0,20.3333,63.0417,2
2017-01-24,5.0167,0.6521,25.7375,53.375,122.4167,31.7826,4.7174,0,20.5417,66.0833,18
2017-01-25,4.3917,0.5062,25.8625,39.75,88.2917,26.2917,2.9958,0,20.2083,68.375,6
2017-01-26,3.3458,0.4558,39.5417,34.7083,76.7083,17.9167,1.6292,0,19.5833,70,8
2017-02-02,3.1875,0.4609,32.2083,26.1667,78.0417,17.9208,1.3708,0,20.875,69.625,9
2017-02-03,3.5875,0.5575,32.0375,42.875,93.875,21.3917,1.9417,0,21,71.9583,6
2017-02-06,3.1958,0.6796,31.9708,57.6087,116.875,22.6684,5.2789,0,22.1667,76.0833,2
2017-02-07,3.9375,0.5438,36.2625,54.8333,123.5833,22.8458,2.6375,0,21.9167,68.625,28
2017-02-08,4.8458,0.4367,34.125,34.0417,96.2083,20.2375,2.6625,0,22.125,68.0417,7
2017-02-09,2.2208,0.3946,31,20.0417,81.0833,15.75,1.6958,0.0083,18.1667,63.9583,13
2017-02-10,5.3083,0.6542,33.625,62.4583,107.8333,24.9167,1.9042,0,16.8333,53.0833,6
2017-02-13,4.2042,0.5475,32.7292,37.2917,86.7083,24.2625,3.5458,0,20.1667,65.4167,4
2017-02-14,3.375,0.5488,40.3,44.0833,98.3333,23.3583,3.0625,0,20.7083,67.5833,17
2017-02-15,4.3417,0.4838,39.9583,43.1667,92.2917,22.4833,2.75,0,20.625,66.2083,1
2017-02-16,4.5417,0.5696,42.1833,45.9583,83.875,24.8333,4.5542,0,21.8333,60.625,5
2017-02-17,2.9,0.545,38.0792,27.0833,61.625,23.8375,4.6375,0,23.875,58.2083,9
2017-02-20,4.55,0.4788,28.4167,29.4583,72.2083,17.9583,3.625,0,26.25,74.3333,6
2017-02-21,4.0042,0.5387,36.5583,48.875,106.6818,19.8238,2.6957,0,25.25,76.0417,20
2017-02-22,6.4792,0.4833,21.5375,38.2083,81.0417,19.1833,3.2875,0,25.9167,75.6667,3
2017-02-23,4.0458,0.5117,24.0833,21.4583,70.75,20.6458,3.35,0.025,25.4583,75.625,9
2017-02-24,4.25,0.6933,14.7417,33.9565,75.4348,28.875,4.8625,0,20.5417,69.1667,12
2017-02-27,4.575,0.4912,36.8583,43.625,88.2083,18.7375,1.8125,0,20.6667,67.5,3
2017-03-01,4.2125,0.4562,35.825,38.5,74.5833,19.15,1.5917,0,21.5,68.875,3
2017-03-02,5.3583,0.5196,47.3333,54.0417,130.4583,22.2917,0.5833,0,20.9167,58.25,11
2017-03-03,5.3208,0.5771,40.6958,52.2917,117.25,24.25,2.0625,0,19.9583,59.2083,9
2017-03-06,3.9833,0.4367,32,24.0417,63.5417,19.1833,1.075,0,23.4167,69.4167,6
2017-03-07,4.675,0.6504,17.0792,65.125,105.9167,32.9583,2.4333,0,19.1667,70.9167,17
2017-03-08,2.7417,0.655,9.8292,42.6957,65.7826,31.8571,3.9333,0,17.2917,81.3333,6
2017-03-09,4.2667,0.735,36.9042,46.3333,69.75,26.2042,7.2,0,21,73.4167,10
2017-03-10,4.2625,0.6362,32.3708,48.625,88.3333,25.7958,1.85,0.0667,23.9583,71.9583,5
2017-03-13,2.3417,0.3908,50.9167,31.4583,58.0833,10.7625,0.3958,0,25.625,73.125,6
2017-03-14,3.9375,0.4521,34.2083,38.0833,70.7917,19.875,1.025,0,22,70.25,10
2017-03-15,5.1125,0.4579,39.875,41.9167,76.4167,20.6625,2.9667,0.0083,21.4167,70.5417,3
2017-03-16,4.9333,0.4896,40.4583,38.4583,71.0833,19.0583,3.25,0.0333,21.7083,75.9167,14
2017-03-17,3.6042,0.4688,38.8292,41.7083,68.2917,15.9042,7.375,0,22.4583,73.7917,12
2017-03-20,4.0875,0.4412,35.375,28.25,54.5,11.1381,2.9091,0,25.875,74.7083,5
2017-03-21,3.5375,0.4992,43.2833,35.1667,74.3333,11.2042,2.0208,0,25.5417,73.1667,17
2017-03-22,4.55,0.5712,47.4458,37.1667,76.4583,10.3304,1.5565,0,23.8333,71.5,2
2017-03-23,3.0167,0.375,58.1667,26.4444,70,11.5611,0.3,0,26.2222,64.8333,10
2017-03-24,5.175,0.5246,54.5125,38.9167,81.1667,15.175,1.6542,0,24.7083,72.5833,11
2017-03-27,2.8083,0.5267,49.75,28.6667,65.125,13.225,1.9083,0,19.625,65.0833,3
2017-03-28,4.9708,0.4879,62.9583,35.375,84.75,18.6,0.695,0,19.3333,62.2917,14
2017-03-29,5.4292,0.5333,56.0125,50.2917,96.6667,19.225,1.6792,0,17.0833,58.1667,3
2017-03-30,5.9875,0.5771,53.4,52.1667,93.4167,18.7167,1.0375,0,14.4167,68.1667,12
2017-03-31,3.7833,0.3958,30.2083,29.5,60.4583,13.7625,2.2958,0,17.1667,70.5833,13
2017-04-05,3.9542,0.3908,64.3333,39.8333,74.9167,12.3583,0.2958,0,24.5833,59,3
2017-04-06,5.5125,0.4438,35.0208,30.9583,63.2917,22.1958,2.2083,0,26.2083,60.4167,12
2017-04-07,5.0917,0.3312,26.6667,14.6667,50.0417,14.35,1.2083,0,26.9167,69.25,11
2017-04-10,3.0542,0.2754,15.9792,15.75,33.5417,9.5542,1.1833,0,28.375,68.2917,5
2017-04-11,2.8542,0.2304,15.0208,12.25,31.25,8.1708,0.8333,0,28.4583,73.125,18
2017-04-12,4.1292,0.6554,7.9333,28.0417,49.7917,25.8875,5.925,1.0083,24.375,88.3333,3
2017-04-13,2.2333,0.6833,34.0417,42.4167,61.125,22.4375,1.725,0.3333,21.7917,84.25,10
2017-04-14,4.1708,0.6388,36.975,48.3182,76.3636,21.6955,1.5542,0.0833,24.7917,76.1667,20
2017-04-17,4.1583,0.2917,18.5333,17.2083,42.625,10.8375,1.8542,0.0417,28.5417,70.9583,5
2017-04-18,1.5762,0.1659,35.1905,15.2917,31.75,4.45,0.14,0,27.5833,78.375,27
2017-04-19,3.6292,0.3538,39.7958,31.5833,50.1667,14.2409,0.7833,0.1667,28.0417,74.6667,8
2017-04-20,2.725,0.2483,24.0083,19.0833,35.75,10.9042,1.6125,0,27.7917,73.25,7
2017-04-21,1.5333,0.1758,20.0833,16.125,27.8333,6.5292,0.3042,0,28.2083,72.5,9
2017-04-24,3.0125,0.5337,49.9167,28.0417,55,16.6333,0.4158,0.0083,24.3333,77.2917,7
2017-04-25,2.65,0.5208,62.9167,52.75,88.4167,19.3125,1.2792,0,26.1667,73.9583,18
2017-04-26,4.6458,0.4762,49.2083,43.9167,74.9167,15.8667,1.6208,0,27.7917,75.1667,5
2017-04-27,3.9875,0.3775,31.9167,34.25,56.375,17.9,2.1208,0,24.6667,78.2917,11
2017-04-28,2.9542,0.3558,55.5,18.9167,44.8333,17.2917,1.8833,0,22.1667,66.6667,9
2017-05-02,4.8458,0.3838,51.9167,31.5,62.7083,17.5125,1.8708,0,28.0417,65.5417,34
2017-05-03,5.3958,0.3575,46.75,33.3333,55.4583,12.6792,0.9458,0,28.375,72.7917,2
2017-05-04,5.0667,0.3212,41.5417,32,59.4583,14.0375,1.775,0,28.7917,72.75,14
2017-05-05,5.9042,0.3562,44.9917,41.7083,69.3333,13.8375,1.7333,0,29.0417,72.7083,12
2017-05-08,4.7667,0.3033,30.25,21.8333,54.5,14.5125,2.3417,0.0083,28.9167,69.625,3
2017-05-09,3.7375,0.1867,18.1042,12.0833,32.75,10.5,2.1375,0,28.9167,72.375,13
2017-05-10,3.9542,0.2921,42.6958,22.625,51.4167,13.0125,1.6083,0.0083,28.7917,70.4167,5
2017-05-11,3.6333,0.2938,47.5833,28.5,55.125,12.3917,1.2042,0,29.25,70.2917,8
2017-05-12,5.6542,0.2892,17.6042,12.3182,44.1818,14.3333,3.9292,0,30.2917,65.375,9
2017-05-15,4.7375,0.2683,53.0417,19.3333,43.125,12.6042,1.0417,0,28.5417,72.25,6
2017-05-16,4.3125,0.4454,16.5417,15.5217,43.913,24.0417,5.5,0.95,26.2917,81.2917,16
2017-05-17,3.3708,0.3729,52.3333,16.5,40.75,18,1.4583,0,25.7083,74.6667,1
2017-05-18,4.2333,0.4267,63.75,32,62.2917,18.4583,0.8458,0.0083,27.0833,75.125,4
2017-05-19,4.45,0.5104,42.875,34.125,69.8333,22.5167,1.6417,0.2,26.2083,78,9
2017-05-22,2.0583,0.1862,39.9167,14.4167,33.7917,6.6708,0.8292,0,28.375,75.2917,9
2017-05-23,2.875,0.1679,32.2917,15.3333,31.1667,7.6208,1.35,0,28.9167,75.9583,12
2017-05-24,2.2458,0.2229,19.1917,7,25.7917,8.1167,2.0042,1.1167,28.2917,83,2
2017-05-25,3.2125,0.3075,17.9696,10.6087,23.913,14.2792,3.3458,1.525,27.5,83.1667,11
2017-05-26,3.4292,0.49,43.2292,25.25,51.7083,21.8333,1.9708,0.025,26.9583,74.4583,10
2017-05-29,3.4083,0.2917,64,24.375,53.7083,9.75,0.9833,0,28.2083,77.125,1
2017-05-31,3.5083,0.2004,23.9708,8.0417,21.375,11.3458,0.6417,0.025,28.125,79.0417,2
2017-06-01,2.05,0.1737,17.2042,8.5652,23.3043,8.3875,1.4708,0.4583,28.6667,83.0833,15
2017-06-02,2.0375,0.1333,15.9583,8.875,38.2083,5.4875,1.1458,0.1,29,84.0833,7
2017-06-05,3.2913,0.3442,15.1208,11.5,32.9583,13.1,3.4917,0,29.5833,76.6667,4
2017-06-06,2.4542,0.2233,16.9417,9.875,32.0417,11.8625,2.8333,0,30.7083,72.7917,10
2017-06-07,4.5667,0.1962,17.7542,11.125,27.0833,10.5125,2.4,0.0667,30.6667,76.0833,6
2017-06-08,4.7042,0.25,13.475,13.75,29.9167,13.6792,3.2542,1.325,30.1667,77,10
2017-06-09,3.025,0.29,19.7958,10.7083,36.875,16.3292,2.8792,0,30.8333,68.75,13
2017-06-12,3.6833,0.2271,19.9708,8.2917,30.3333,11.5167,2.3917,0.7083,31.4167,68.5833,7
2017-06-13,2.0542,0.1921,15.0375,6.7273,29.8261,8.9792,3.0708,0.1583,30.25,73.625,14
2017-06-14,2.2625,0.1883,10.8958,7.9583,32.75,11.6708,2.4958,0.3083,28.75,80.9583,4
2017-06-15,3.0792,0.5342,6.0458,9.9583,30.9583,19.9333,14.2458,2.9,26.25,89.5,15
2017-06-16,2.7045,0.3029,10.1292,11.9583,36.125,12.7458,4.6208,0.1917,28.125,82.75,3
2017-06-19,1.7652,0.2075,11.9833,8.3043,29.5217,9.4792,2.4583,0,29.75,72.9167,3
2017-06-20,3.15,0.2162,11.1583,9.2083,28.625,9.575,2.2958,0,30.125,70.625,21
2017-06-21,2.8625,0.235,10.6,8.375,26.7917,10.9,3.1292,0,30.7917,67.375,8
2017-06-22,2.4833,0.1933,14.9458,7.1667,23.5833,9.3458,2.7292,0,30.9167,69.25,5
2017-06-23,4.125,0.1567,17.275,9.1667,26.4583,8.5292,1.9625,0.0083,30.625,72.2083,11
2017-06-24,2.7917,0.1554,16.925,8.9167,28.3333,8.2417,1.6583,0,30.4167,73.9167,1
2017-06-26,2.1917,0.1,18.3833,5.5,26.1667,5.0375,1.4625,0,30.5417,73.4167,2
2017-06-27,2.5,0.0975,16.1333,9.087,27.5217,6.6,1.4833,0,30.2917,75.375,12
2017-06-28,2.75,0.1575,17.3625,8.4583,25.8333,8.4125,1.6833,0,30.2917,74.2917,1
2017-06-29,4.4292,0.3383,24.3958,14.5,38.4167,17.3,3.1083,0.2917,29.7917,69.875,12
2017-06-30,4.2375,0.3383,11.6083,9.875,32.75,15.875,5.7292,0.0083,30.4167,67.5833,11
2017-07-03,3.615,0.2205,14.58,10.25,28.35,12.395,3.33,0,30.55,67.05,7
2017-07-04,4.6042,0.2808,8.9542,6.2083,31.6667,14.6167,5.7625,0.0167,30.5,65.125,15
2017-07-05,4.4875,0.3179,15.4417,7.2917,36.5833,14.0208,6.05,0,31.2917,59.0833,4
2017-07-06,5.7625,0.3571,18.2542,15.0455,42.6818,16.4125,3.4708,0,30.375,66.0417,14
2017-07-07,3.4708,0.2704,9.3167,8.4167,28.2083,13.3042,4.7667,0,30.1667,66.5,12
2017-07-10,5.0375,0.1792,11.8958,7.2083,24.125,11.8125,2.6583,0,30.9167,65.0833,10
2017-07-11,4.75,0.2708,12.3542,7.0909,35.4091,14.0909,3.2227,0,31.4167,62.25,24
2017-07-12,5.0304,0.3288,14.775,10.375,34.9167,18.9043,13.3913,0.0333,30.5417,64.4583,1
2017-07-13,1.9,0.2467,25.5667,10.5417,32,11.7542,2.7917,0.025,30.5417,64.3333,11
2017-07-14,4.0333,0.2721,25.7333,13.375,39.9583,15.0542,2.3375,0,30.7917,63.9167,8
2017-07-17,3.1958,0.3625,33.925,17.5833,42.0833,15.3875,4.7833,0.1,29.0833,70.625,3
2017-07-18,3.9958,0.3225,39.35,23.75,50.8333,17.225,0.9667,0,29.9583,69.9167,17
2017-07-19,3.2042,0.2596,33.5083,20.5652,45.2174,14.3542,0.7125,0,30.125,66.875,2
2017-07-20,4,0.2304,43.0417,23.5833,42.3333,10.7667,1.0125,0,30.625,64.875,12
2017-07-21,4.2857,0.3562,40.1417,23.6667,48.25,15.3,0.9583,0.0917,30.1667,71.1667,12
2017-07-24,4.6125,0.2917,22.7875,11,34.1667,15.4417,0.9292,0,30.0417,70.2083,5
2017-07-25,4.7625,0.3079,22.2625,11.5417,31.0417,16.7,2.1,0,30.0417,65.2083,30
2017-07-26,2.6083,0.4104,17.1292,12.4348,33.1304,18.3375,3.875,1.925,29.3333,71.0833,3
2017-07-27,3.1542,0.2725,20.575,9,32.0833,13.4542,2.7708,0.0417,30.0417,68.75,9
2017-07-28,3.5,0.2521,35.625,30,82.4583,12.2,0.9208,0.025,29.875,73.7083,4
2017-08-01,4.6389,0.5154,7.6944,11.1429,34.5,18.2722,6.45,2.0917,27.25,87.8333,15
2017-08-02,3.2333,0.5579,17.2,12.2917,32.7083,20.775,6.9333,6.5083,27.0417,90.1667,1
2017-08-03,1.225,0.4238,18.6292,17.3333,41.5,13.2875,3.0917,0.2333,29.4167,81.6667,8
2017-08-04,15.2583,0.2975,20.2958,16.5833,58,12.2583,1.5667,0.0833,29.5417,81.4583,11
2017-08-07,1.8917,0.1508,15.8208,8.5417,29.6667,4.9042,0.5333,0,30.2083,80.2083,2
2017-08-08,2.675,0.1921,13.6542,8.9583,33.2083,7.5458,1.675,0.0333,30.0833,81.8333,21
2017-08-09,2.5208,0.1796,14.075,11.7917,29.375,7.0333,1.6542,0.1333,29.75,80.625,2
2017-08-10,2.0864,0.1905,18.0591,9.7895,36.7368,6.1136,1.5909,0.0417,30.1818,79.6818,11
2017-08-11,2.5292,0.1683,19.825,11.75,33.5,6.3833,1.8292,0,30.2917,79.875,8
2017-08-14,2.9,0.1158,12.2042,5.2917,21.4583,6.0958,1.2375,0,30.2917,75.9583,3
2017-08-15,2.8958,0.1217,14.9583,7.3913,22.4348,7.9583,1.1458,0,28.5833,73.4167,13
2017-08-16,3.2958,0.1812,16.4042,9.4167,24.5417,12.55,1.9125,0,30.25,73.875,1
2017-08-17,3.8375,0.1912,28.9833,14.5652,33.4348,9.8333,1.7375,0,30.25,70.125,8
2017-08-18,4.575,0.2629,37.4583,21.5833,40.875,9.7042,1.0958,0,30.5833,73.5417,10
2017-08-19,3.0792,0.1862,24.5042,15.2083,33.2917,9.1917,0.9417,0,30.9167,73.75,1
2017-08-21,3.5333,0.2383,28.4583,21,44.7083,12.1083,1.0875,0,29.75,82.3333,3
2017-08-22,3.3583,0.3925,19.1125,14.5833,39.6667,16.1083,2.5792,0.4917,28.75,78.875,15
2017-08-23,4.3083,0.2908,17.8458,8.375,30.0417,14.2375,2.6375,0.0167,30.125,67.7083,1
2017-08-24,3.9917,0.3858,22.0958,10.1667,30.7083,17.4458,2.0583,0.1083,28.8333,78.9583,8
2017-08-25,2.225,0.2371,34.9583,15.2174,35.9565,11.3375,1.0417,0,29,80.625,11
2017-08-28,3.5,0.3392,25.9875,10.375,39.375,16.3458,2.8083,0.0417,28.625,79.5,3
2017-08-29,1.9083,0.2392,30.0458,15,38.5,12.8458,0.7333,0,28.9167,80.7917,9
2017-08-30,4.2042,0.3075,38.6667,19.913,47.6957,17.3125,1.475,0,29.625,77.375,6
2017-08-31,4.5458,0.3158,25.5417,23.9583,45.9167,14.0292,2.5167,0.0167,28.625,83.7083,7
2017-09-01,4.7667,0.5179,13.45,17.4167,40.7083,23.5833,5.4167,0.5167,27.5,87.5833,7
2017-09-04,3.1625,0.2321,22.3375,12.9583,34.6667,9.8542,1.6667,0,29.5417,79.5,4
2017-09-05,3.45,0.26,30.825,18.4091,35.6364,11.6042,1.0083,0,29.0417,80.8333,8
2017-09-06,4.3083,0.3375,18.4708,18.2083,45.0417,14.3333,1.9667,0,29.9167,77.6667,2
2017-09-07,1.8417,0.275,17.875,9.7917,27.5833,11.6,2.2292,0.3083,28.9167,81.75,11
2017-09-08,3.4125,0.2446,17.1583,11.875,27.0833,10.625,1.7625,0.0333,28.8333,82.5833,6
2017-09-11,3.3458,0.2296,18.5417,13.9167,33.75,10.8417,1.8333,0,29.4583,77.4167,8
2017-09-12,4.0792,0.2354,28,22.25,42.5417,13.3833,2.3208,0,29.5833,78.0417,17
2017-09-13,4.9917,0.2783,45.6667,25.4167,57.2917,11.3042,0.85,0.0083,30.2083,75,2
2017-09-14,3.975,0.2796,45.375,23.1739,65.0435,12.0292,0.5875,0,29.6667,80,12
2017-09-15,3.0292,0.1858,48.9167,13.25,41.25,8.2708,0.3708,0,29.0417,80.0417,15
2017-09-18,4.725,0.3208,76.7083,24.9583,59.9583,9.3167,1.0875,0,29.7083,69,14
2017-09-19,4.6042,0.4042,51.125,25.4167,55.7917,16.1542,0.9708,0.0167,28.75,69.9167,13
2017-09-20,4.1,0.4971,44.2917,37.9583,70.1667,20.525,1.3625,0.0083,29.2083,70.375,2
2017-09-21,4.9,0.3033,47.4167,25.7391,53.5,12.6583,0.4875,0,29.5833,76.2083,6
2017-09-22,3.9625,0.3438,54.0417,35.625,60.375,10.4875,1.4792,0,30.0833,72.875,10
2017-09-25,3.5458,0.2004,23.7,12.0833,36,9.1292,1.1167,0,30.2083,78.2917,4
2017-09-26,3.0875,0.1646,27.8667,14.4545,30.8261,8.825,1.0917,0,29.9167,81.375,13
2017-09-27,4.2125,0.1667,23.3842,19.1667,38.5833,10.6667,1.4875,0,30.0833,81.2083,3
2017-09-28,3.5042,0.1558,21.5,14,23.4167,9.5083,1.1792,0,28.9167,78.9167,8
2017-09-29,3.6125,0.3271,33.5125,17.9583,42.7083,16.4125,1.825,0,29.125,79.75,12
2017-10-02,4.3708,0.3529,41.9917,29.9583,53.9167,13.0375,0.4625,0,30,77.3333,9
2017-10-03,4.1708,0.5783,35.8542,24,64.0435,21.6875,3.2083,1.2333,29.4167,82.125,14
2017-10-05,3.9917,0.4454,47.8833,36.9167,75,15.15,0.625,0,29,81.7083,9
2017-10-06,3.8542,0.3433,47.375,24.5652,68.6522,11.7625,1.2167,0,29.0833,81.25,13
2017-10-11,3.4208,0.1817,44.7083,16.1667,43.9583,7.6417,0.3625,0,30,77.2917,6
2017-10-12,3.5458,0.3279,43,23.0833,78.375,14.5917,1.0042,0,29.6667,80.6667,10
2017-10-13,3.5,0.5429,11.8583,23.5217,78.8261,30.375,3.9333,0.7333,26.5417,87.7917,14
2017-10-16,2.7458,0.3667,27.3583,12.4167,40.4583,14.8792,4.1625,0.125,28.0417,86.4583,4
2017-10-17,3.2875,0.4292,36.925,29.25,79.9167,19.4792,1.6917,0.0083,28.2917,86.0417,9
2017-10-18,3.0958,0.4046,32.9167,26.8696,68.1739,20.5417,1.0042,0,27.2917,84.6667,2
2017-10-19,3.05,0.4333,36.6042,25.7083,69.625,19.4583,2.7917,0,27.4583,79.75,15
2017-10-20,2.8708,0.3779,37.5125,24.2917,74,18.9583,1.6792,0,26.375,79.25,7
2017-10-23,5.7143,0.6759,50.1364,41.8261,92.2857,29.5789,2.0579,0,23.875,67.125,8
2017-10-24,3.7417,0.5579,52.3333,43.75,108.625,23.7375,2.1292,0,25.1667,70.375,18
2017-10-25,4.2292,0.4925,54.9583,38.375,92.9167,18.3625,1.45,0,24.9167,72.4167,2
2017-10-26,4.7792,0.5271,48.2875,37.75,90.3333,22.2917,1.0875,0,24.9583,71.7917,9
2017-10-27,3.1583,0.4125,46.1208,29.375,90.4167,20.125,0.9417,0,24.1667,69.625,6
2017-10-30,3.7783,0.4555,38.0588,33.25,142.5,25.5217,1.4609,0,23.5,65.3333,6
2017-10-31,3.4917,0.3562,42.2583,23.6087,76.7391,25.4913,3.187,0,24,66.5833,23
2017-11-01,3.4333,0.3904,51.4583,25.4167,70.9167,17.6708,1.2167,0,24.4167,70,3
2017-11-02,3.4667,0.4558,42.375,29.2917,69.7917,21.9583,0.9625,0.0667,25.0417,76.5,8
2017-11-03,2.8,0.3775,30.3083,30,75.8333,19.0833,1.6167,0.0083,25.5417,84.0417,3
2017-11-06,4.1333,0.8558,24.1417,56.7368,112.2917,39.25,3.675,0.05,23.875,85.4583,3
2017-11-07,2.6917,0.4671,36.6875,50.8333,93.7917,19.2417,1.2958,0,24.9583,86.5,9
2017-11-08,2.8667,0.4054,35.6958,40.75,98.375,18.9,1.205,0,25.4583,84.7083,3
2017-11-09,3.0083,0.4496,45.6667,40.7083,81.3333,16.7333,2.0292,0,25.6667,81.2917,6
2017-11-10,3.5542,0.4829,38.1917,51.5417,116.625,19.4083,1.9667,0,25.5,85.8333,10
2017-11-13,2.575,0.5425,16.875,32.3333,63.5417,23.9167,3.3333,0,24.6667,86.2083,3
2017-11-14,2.5625,0.4958,33.925,49.7917,87.5,21.2583,2.0625,0,25,86.7917,18
2017-11-15,4.5083,0.5262,33.5375,45.4583,90.625,23.875,2.975,0,25.4583,84.7917,4
2017-11-16,4.2917,0.5479,48.8083,54.7273,89.2609,20.775,3.1792,0.3417,25.0417,84.2083,12
2017-11-17,3.5458,0.5237,39.5167,54,79.4167,21.3208,1.7375,0,26.1667,80.2917,11
2017-11-19,3.4625,0.4121,30.2042,21.9167,59.5417,17.4792,1.3542,0,22.75,74.6667,1
2017-11-20,3.7333,0.4308,23.3542,32.25,90.5417,22.75,2.5167,0,22.9167,78.625,3
2017-11-21,3.8,0.4479,33.5417,28.7917,75.5417,22.3333,2.8208,0,23.2083,81.0833,3
2017-11-22,2.9083,0.4362,24.35,44.3333,92.9583,18.7917,1.7833,0,23,83.25,4
2017-11-23,3.3708,0.5596,33.5,41.0417,108.0833,21.4583,1.0875,0,20.9167,72.2917,9
2017-11-24,3.7542,0.515,19.0083,32.7083,80.125,27.875,2.6958,0.025,20.1667,70.2917,8
2017-11-27,2.6208,0.4325,31.5875,31.9583,67.8333,19.2917,2.1708,0.025,23.1667,81.5833,5
2017-11-28,3.7,0.5858,37.8667,43.875,96.0833,23.8417,2.6,0,23.875,82.5,9
2017-11-29,2.5833,0.4592,32.6792,52.9583,97.4583,18.6208,1.9708,0,24.0833,84.125,3
2017-11-30,2.3583,0.4738,32.75,64.25,108.25,18.4583,0.8042,0,23.75,82.2917,13
2017-12-01,3.0792,0.4642,24.8833,29.4583,94.9583,21.0417,1.2292,0,22.5417,77.4167,11
2017-12-04,2.9667,0.4504,30.1208,33.5,32.1053,18.9583,2.2708,0,21.6667,73.4583,4
2017-12-05,3.4417,0.5525,31.1417,44.9583,65.3478,23.5833,2.4708,0,20.125,67.25,16
2017-12-06,4.1292,0.5762,24.0167,43.5417,83.5833,29,2.8667,0,19.4167,67.3333,2
2017-12-07,3.0417,0.4262,25.7167,23.9167,47.4583,22.625,1.5542,0,20.75,69.7917,7
2017-12-08,2.5792,0.4604,25.4583,37.8333,65.25,20.6625,1.8333,0,17.125,73.4583,9
2017-12-11,3.8292,0.6421,28.7,56.375,106.2917,25.9167,2.2875,0,19.4167,74.375,8
2017-12-12,4.1042,0.6075,14.7875,43.375,89.0455,30.1667,4.7542,0,19.5417,68.25,15
2017-12-13,4.1792,0.5275,26.4417,33.5,65.7083,25.3333,2.9333,0.0083,20.7917,75.9583,3
2017-12-14,3.8083,0.5425,30.4833,40.0833,88.6667,26.7542,3.5375,0,20.9583,78.125,11
2017-12-15,3.2167,0.4938,32.4083,37.8333,85.25,22.25,2.8833,0,20.5833,81.8333,9
2017-12-18,3.0583,0.4462,20.0708,26.2917,71.25,21.7083,3.3375,0,18.1667,67.1667,4
2017-12-19,2.9,0.375,23.7375,24.8333,67.4167,19.875,1.6292,0,18.0833,69.375,16
2017-12-20,3.4125,0.4288,26,31.0833,89.0417,19,2.0833,0.0083,17.7083,72.5,2
2017-12-21,3.65,0.425,36.8083,26.4167,80.8333,19.3333,2.7792,0,18.1667,67,6
2017-12-22,4.0875,0.5775,40.8083,50.2083,102.0833,23.0083,2.7958,0,19.0833,67.2083,6
2017-12-25,4.1083,0.6908,34.8333,58.6667,122,22.8667,1.8083,0,20.2083,72.7917,2
2017-12-26,4.6083,0.745,32.8167,65.25,146.625,28.875,4.3208,0,20.6667,71.6667,21
2017-12-27,3.9875,0.5192,38.25,44.5833,97.5833,24.875,2.6792,0,20.0417,75.4167,3
2017-12-28,4.0125,0.4233,38.3708,41.25,92.8333,18.7708,1.7625,0,21.0833,75,10
2017-12-29,2.8167,0.3642,33.875,39.7083,101.1667,17.125,1.45,0,21,76.5417,9
