"","date","X708","X995.3","X708.995.3"
"1",2017-01-01,0,0,0
"2",2017-01-02,0,0,0
"3",2017-01-03,6,4,10
"4",2017-01-04,0,0,0
"5",2017-01-05,4,6,10
"6",2017-01-06,5,3,8
"7",2017-01-07,0,0,0
"8",2017-01-08,0,0,0
"9",2017-01-09,0,3,3
"10",2017-01-10,8,4,11
"11",2017-01-11,2,1,2
"12",2017-01-12,3,3,6
"13",2017-01-13,7,6,12
"14",2017-01-14,0,0,0
"15",2017-01-15,0,0,0
"16",2017-01-16,0,1,1
"17",2017-01-17,8,7,13
"18",2017-01-18,3,0,3
"19",2017-01-19,2,3,5
"20",2017-01-20,4,8,9
"21",2017-01-21,0,0,0
"22",2017-01-22,0,0,0
"23",2017-01-23,2,0,2
"24",2017-01-24,1,12,13
"25",2017-01-25,6,0,6
"26",2017-01-26,2,6,8
"27",2017-01-27,0,0,0
"28",2017-01-28,0,0,0
"29",2017-01-29,0,0,0
"30",2017-01-30,0,0,0
"31",2017-01-31,0,0,0
"32",2017-02-01,0,0,0
"33",2017-02-02,2,6,8
"34",2017-02-03,3,3,5
"35",2017-02-04,0,0,0
"36",2017-02-05,0,0,0
"37",2017-02-06,1,1,2
"38",2017-02-07,13,11,22
"39",2017-02-08,6,2,6
"40",2017-02-09,4,6,10
"41",2017-02-10,4,1,5
"42",2017-02-11,0,0,0
"43",2017-02-12,0,0,0
"44",2017-02-13,1,1,2
"45",2017-02-14,7,10,13
"46",2017-02-15,0,1,1
"47",2017-02-16,0,2,2
"48",2017-02-17,6,3,9
"49",2017-02-18,0,0,0
"50",2017-02-19,0,0,0
"51",2017-02-20,5,1,6
"52",2017-02-21,4,11,15
"53",2017-02-22,1,1,2
"54",2017-02-23,2,7,9
"55",2017-02-24,6,7,10
"56",2017-02-25,0,0,0
"57",2017-02-26,0,0,0
"58",2017-02-27,1,1,2
"59",2017-02-28,0,0,0
"60",2017-03-01,2,0,2
"61",2017-03-02,2,8,10
"62",2017-03-03,7,2,9
"63",2017-03-04,0,0,0
"64",2017-03-05,0,0,0
"65",2017-03-06,2,3,5
"66",2017-03-07,7,8,14
"67",2017-03-08,2,1,2
"68",2017-03-09,2,6,8
"69",2017-03-10,5,0,5
"70",2017-03-11,0,0,0
"71",2017-03-12,0,0,0
"72",2017-03-13,4,2,6
"73",2017-03-14,5,5,8
"74",2017-03-15,2,1,3
"75",2017-03-16,7,5,12
"76",2017-03-17,8,4,12
"77",2017-03-18,0,0,0
"78",2017-03-19,0,0,0
"79",2017-03-20,2,1,2
"80",2017-03-21,4,11,15
"81",2017-03-22,1,1,2
"82",2017-03-23,4,6,10
"83",2017-03-24,7,4,8
"84",2017-03-25,0,0,0
"85",2017-03-26,0,0,0
"86",2017-03-27,1,2,3
"87",2017-03-28,10,5,12
"88",2017-03-29,2,0,2
"89",2017-03-30,2,10,11
"90",2017-03-31,4,11,13
"91",2017-04-01,0,0,0
"92",2017-04-02,0,0,0
"93",2017-04-03,0,0,0
"94",2017-04-04,0,0,0
"95",2017-04-05,2,2,3
"96",2017-04-06,4,7,11
"97",2017-04-07,5,4,9
"98",2017-04-08,0,0,0
"99",2017-04-09,0,0,0
"100",2017-04-10,4,2,5
"101",2017-04-11,9,9,16
"102",2017-04-12,3,0,3
"103",2017-04-13,2,6,8
"104",2017-04-14,14,7,19
"105",2017-04-15,0,0,0
"106",2017-04-16,0,0,0
"107",2017-04-17,1,3,4
"108",2017-04-18,8,15,22
"109",2017-04-19,8,0,8
"110",2017-04-20,1,5,6
"111",2017-04-21,8,2,9
"112",2017-04-22,0,0,0
"113",2017-04-23,0,0,0
"114",2017-04-24,4,3,7
"115",2017-04-25,5,11,14
"116",2017-04-26,5,0,5
"117",2017-04-27,4,6,9
"118",2017-04-28,6,3,7
"119",2017-04-29,0,0,0
"120",2017-04-30,0,0,0
"121",2017-05-01,0,0,0
"122",2017-05-02,16,17,28
"123",2017-05-03,1,1,1
"124",2017-05-04,3,7,10
"125",2017-05-05,8,4,11
"126",2017-05-06,0,0,0
"127",2017-05-07,0,0,0
"128",2017-05-08,2,1,3
"129",2017-05-09,10,5,13
"130",2017-05-10,2,3,5
"131",2017-05-11,2,4,6
"132",2017-05-12,6,2,8
"133",2017-05-13,0,0,0
"134",2017-05-14,0,0,0
"135",2017-05-15,4,1,5
"136",2017-05-16,4,9,13
"137",2017-05-17,1,0,1
"138",2017-05-18,1,1,2
"139",2017-05-19,5,3,7
"140",2017-05-20,0,0,0
"141",2017-05-21,0,0,0
"142",2017-05-22,6,2,8
"143",2017-05-23,7,2,9
"144",2017-05-24,2,1,2
"145",2017-05-25,2,7,9
"146",2017-05-26,6,3,9
"147",2017-05-27,0,0,0
"148",2017-05-28,0,0,0
"149",2017-05-29,0,0,0
"150",2017-05-30,0,0,0
"151",2017-05-31,2,0,2
"152",2017-06-01,3,7,10
"153",2017-06-02,4,3,6
"154",2017-06-03,0,0,0
"155",2017-06-04,0,0,0
"156",2017-06-05,3,1,4
"157",2017-06-06,3,7,9
"158",2017-06-07,4,2,5
"159",2017-06-08,0,10,10
"160",2017-06-09,9,5,12
"161",2017-06-10,0,0,0
"162",2017-06-11,0,0,0
"163",2017-06-12,5,0,5
"164",2017-06-13,3,8,11
"165",2017-06-14,3,0,3
"166",2017-06-15,3,10,13
"167",2017-06-16,3,0,3
"168",2017-06-17,0,0,0
"169",2017-06-18,0,0,0
"170",2017-06-19,2,0,2
"171",2017-06-20,6,10,15
"172",2017-06-21,6,1,6
"173",2017-06-22,1,3,4
"174",2017-06-23,2,6,8
"175",2017-06-24,0,0,0
"176",2017-06-25,0,0,0
"177",2017-06-26,0,2,2
"178",2017-06-27,6,3,8
"179",2017-06-28,1,0,1
"180",2017-06-29,4,8,12
"181",2017-06-30,9,1,9
"182",2017-07-01,0,0,0
"183",2017-07-02,0,0,0
"184",2017-07-03,6,2,7
"185",2017-07-04,9,5,13
"186",2017-07-05,2,2,4
"187",2017-07-06,4,9,11
"188",2017-07-07,6,6,10
"189",2017-07-08,0,0,0
"190",2017-07-09,0,0,0
"191",2017-07-10,7,2,9
"192",2017-07-11,7,13,19
"193",2017-07-12,1,0,1
"194",2017-07-13,3,8,11
"195",2017-07-14,6,1,6
"196",2017-07-15,0,0,0
"197",2017-07-16,0,0,0
"198",2017-07-17,1,2,3
"199",2017-07-18,6,8,12
"200",2017-07-19,1,1,2
"201",2017-07-20,9,1,9
"202",2017-07-21,6,2,8
"203",2017-07-22,0,0,0
"204",2017-07-23,0,0,0
"205",2017-07-24,2,3,5
"206",2017-07-25,14,16,25
"207",2017-07-26,3,0,3
"208",2017-07-27,4,4,8
"209",2017-07-28,1,0,1
"210",2017-07-29,0,0,0
"211",2017-07-30,0,0,0
"212",2017-07-31,0,0,0
"213",2017-08-01,11,4,14
"214",2017-08-02,0,1,1
"215",2017-08-03,2,7,8
"216",2017-08-04,7,2,9
"217",2017-08-05,0,0,0
"218",2017-08-06,0,0,0
"219",2017-08-07,1,1,2
"220",2017-08-08,7,13,20
"221",2017-08-09,2,0,2
"222",2017-08-10,4,7,11
"223",2017-08-11,3,5,7
"224",2017-08-12,0,0,0
"225",2017-08-13,0,0,0
"226",2017-08-14,2,1,3
"227",2017-08-15,5,8,12
"228",2017-08-16,1,0,1
"229",2017-08-17,0,6,6
"230",2017-08-18,5,3,7
"231",2017-08-19,0,0,0
"232",2017-08-20,0,0,0
"233",2017-08-21,2,1,3
"234",2017-08-22,6,7,11
"235",2017-08-23,1,0,1
"236",2017-08-24,1,4,5
"237",2017-08-25,5,4,6
"238",2017-08-26,0,0,0
"239",2017-08-27,0,0,0
"240",2017-08-28,1,2,3
"241",2017-08-29,5,5,9
"242",2017-08-30,3,3,6
"243",2017-08-31,2,2,4
"244",2017-09-01,4,3,6
"245",2017-09-02,0,0,0
"246",2017-09-03,0,0,0
"247",2017-09-04,3,0,3
"248",2017-09-05,2,4,6
"249",2017-09-06,2,0,2
"250",2017-09-07,2,7,9
"251",2017-09-08,4,2,6
"252",2017-09-09,0,0,0
"253",2017-09-10,0,0,0
"254",2017-09-11,7,1,8
"255",2017-09-12,4,10,13
"256",2017-09-13,2,0,2
"257",2017-09-14,1,7,8
"258",2017-09-15,7,6,13
"259",2017-09-16,0,0,0
"260",2017-09-17,0,0,0
"261",2017-09-18,12,2,14
"262",2017-09-19,4,5,9
"263",2017-09-20,0,0,0
"264",2017-09-21,4,2,6
"265",2017-09-22,6,3,8
"266",2017-09-23,0,0,0
"267",2017-09-24,0,0,0
"268",2017-09-25,3,1,4
"269",2017-09-26,6,5,11
"270",2017-09-27,1,1,2
"271",2017-09-28,3,4,6
"272",2017-09-29,8,2,9
"273",2017-09-30,0,0,0
"274",2017-10-01,0,0,0
"275",2017-10-02,5,4,9
"276",2017-10-03,6,7,13
"277",2017-10-04,0,0,0
"278",2017-10-05,2,5,7
"279",2017-10-06,5,5,9
"280",2017-10-07,0,0,0
"281",2017-10-08,0,0,0
"282",2017-10-09,0,0,0
"283",2017-10-10,0,0,0
"284",2017-10-11,3,2,4
"285",2017-10-12,4,5,8
"286",2017-10-13,8,3,10
"287",2017-10-14,0,0,0
"288",2017-10-15,0,0,0
"289",2017-10-16,1,2,3
"290",2017-10-17,3,5,7
"291",2017-10-18,1,1,2
"292",2017-10-19,5,7,12
"293",2017-10-20,3,2,5
"294",2017-10-21,0,0,0
"295",2017-10-22,0,0,0
"296",2017-10-23,7,1,8
"297",2017-10-24,7,9,14
"298",2017-10-25,0,0,0
"299",2017-10-26,2,5,7
"300",2017-10-27,0,2,2
"301",2017-10-28,0,0,0
"302",2017-10-29,0,0,0
"303",2017-10-30,2,3,5
"304",2017-10-31,8,10,17
"305",2017-11-01,2,1,3
"306",2017-11-02,1,6,7
"307",2017-11-03,0,3,3
"308",2017-11-04,0,0,0
"309",2017-11-05,0,0,0
"310",2017-11-06,2,1,3
"311",2017-11-07,4,3,7
"312",2017-11-08,3,0,3
"313",2017-11-09,2,4,6
"314",2017-11-10,6,4,10
"315",2017-11-11,0,0,0
"316",2017-11-12,0,0,0
"317",2017-11-13,2,0,2
"318",2017-11-14,7,7,13
"319",2017-11-15,4,0,4
"320",2017-11-16,5,4,9
"321",2017-11-17,8,4,10
"322",2017-11-18,0,0,0
"323",2017-11-19,0,0,0
"324",2017-11-20,3,1,3
"325",2017-11-21,0,2,2
"326",2017-11-22,2,1,3
"327",2017-11-23,0,8,8
"328",2017-11-24,2,6,7
"329",2017-11-25,0,0,0
"330",2017-11-26,0,0,0
"331",2017-11-27,1,2,3
"332",2017-11-28,2,7,9
"333",2017-11-29,2,1,3
"334",2017-11-30,4,7,11
"335",2017-12-01,9,2,11
"336",2017-12-02,0,0,0
"337",2017-12-03,0,0,0
"338",2017-12-04,3,1,4
"339",2017-12-05,6,11,16
"340",2017-12-06,1,0,1
"341",2017-12-07,3,5,7
"342",2017-12-08,5,5,9
"343",2017-12-09,0,0,0
"344",2017-12-10,0,0,0
"345",2017-12-11,5,2,7
"346",2017-12-12,5,6,11
"347",2017-12-13,2,0,2
"348",2017-12-14,6,5,11
"349",2017-12-15,6,2,8
"350",2017-12-16,0,0,0
"351",2017-12-17,0,0,0
"352",2017-12-18,2,1,3
"353",2017-12-19,6,8,14
"354",2017-12-20,2,0,2
"355",2017-12-21,2,3,4
"356",2017-12-22,3,1,4
"357",2017-12-23,0,0,0
"358",2017-12-24,0,0,0
"359",2017-12-25,2,0,2
"360",2017-12-26,7,12,19
"361",2017-12-27,1,2,3
"362",2017-12-28,3,4,7
"363",2017-12-29,5,4,8
"364",2017-12-30,0,0,0
"365",2017-12-31,0,0,0
